,country,year,sex,age,suicide_ratio,is_WC_year,is_host,in_finals,participant,won
1129,Argentina,1985,female,25-34 years,0.2974556104704375,False,False,False,False,False
1130,Argentina,1985,female,35-54 years,0.4232110392513337,False,False,False,False,False
1131,Argentina,1985,female,5-14 years,0.03722252301028695,False,False,False,False,False
1132,Argentina,1985,female,55-74 years,0.9114583333333334,False,False,False,False,False
1133,Argentina,1985,female,75+ years,0.7635009310986964,False,False,False,False,False
1134,Argentina,1985,male,15-24 years,0.6459092414706856,False,False,False,False,False
1135,Argentina,1985,male,25-34 years,0.7922298809417241,False,False,False,False,False
1136,Argentina,1985,male,35-54 years,1.2371873412425665,False,False,False,False,False
1137,Argentina,1985,male,5-14 years,0.05255896458839761,False,False,False,False,False
1138,Argentina,1985,male,55-74 years,2.42864296444667,False,False,False,False,False
1139,Argentina,1985,male,75+ years,5.564738292011019,False,False,False,False,False
1140,Argentina,1986,female,15-24 years,0.4265923297854367,True,False,True,True,True
1141,Argentina,1986,female,25-34 years,0.43684018929741536,True,False,True,True,True
1142,Argentina,1986,female,35-54 years,0.5571525946122159,True,False,True,True,True
1143,Argentina,1986,female,5-14 years,0.023553955382078804,True,False,True,True,True
1144,Argentina,1986,female,55-74 years,0.867463639894696,True,False,True,True,True
1145,Argentina,1986,female,75+ years,0.8885597926693817,True,False,True,True,True
1146,Argentina,1986,male,15-24 years,0.7657787475812096,True,False,True,True,True
1147,Argentina,1986,male,25-34 years,0.9301704570741911,True,False,True,True,True
1148,Argentina,1986,male,35-54 years,1.4204207773683584,True,False,True,True,True
1149,Argentina,1986,male,5-14 years,0.03266479388515058,True,False,True,True,True
1150,Argentina,1986,male,55-74 years,2.6390479510033362,True,False,True,True,True
1151,Argentina,1986,male,75+ years,6.301369863013699,True,False,True,True,True
1152,Argentina,1987,female,15-24 years,0.38775850567044695,False,False,False,False,False
1153,Argentina,1987,female,25-34 years,0.399784385949151,False,False,False,False,False
1154,Argentina,1987,female,35-54 years,0.6114150308632946,False,False,False,False,False
1155,Argentina,1987,female,5-14 years,0.046500813764240874,False,False,False,False,False
1156,Argentina,1987,female,55-74 years,0.9542879052528438,False,False,False,False,False
1157,Argentina,1987,female,75+ years,1.0420475319926874,False,False,False,False,False
1158,Argentina,1987,male,15-24 years,0.727464845972527,False,False,False,False,False
1159,Argentina,1987,male,25-34 years,0.8435111150162551,False,False,False,False,False
1160,Argentina,1987,male,35-54 years,1.41386289636561,False,False,False,False,False
1161,Argentina,1987,male,5-14 years,0.04836681391674459,False,False,False,False,False
1162,Argentina,1987,male,55-74 years,2.614893094126321,False,False,False,False,False
1163,Argentina,1987,male,75+ years,5.408328826392645,False,False,False,False,False
1164,Argentina,1988,female,15-24 years,0.41073607157381054,False,False,False,False,False
1165,Argentina,1988,female,25-34 years,0.2737881508078995,False,False,False,False,False
1166,Argentina,1988,female,35-54 years,0.56442417331813,False,False,False,False,False
1167,Argentina,1988,female,5-14 years,0.03531300160513644,False,False,False,False,False
1168,Argentina,1988,female,55-74 years,0.9660033167495854,False,False,False,False,False
1169,Argentina,1988,female,75+ years,1.0132890365448506,False,False,False,False,False
1170,Argentina,1988,male,15-24 years,0.8359746434231379,False,False,False,False,False
1171,Argentina,1988,male,25-34 years,0.9446397188049209,False,False,False,False,False
1172,Argentina,1988,male,35-54 years,1.361689980017128,False,False,False,False,False
1173,Argentina,1988,male,5-14 years,0.06230529595015577,False,False,False,False,False
1174,Argentina,1988,male,55-74 years,2.6455026455026456,False,False,False,False,False
1175,Argentina,1988,male,75+ years,5.5102040816326525,False,False,False,False,False
1176,Argentina,1989,female,15-24 years,0.3188521323236349,False,False,False,False,False
1177,Argentina,1989,female,25-34 years,0.3705357142857143,False,False,False,False,False
1178,Argentina,1989,female,35-54 years,0.4658995228739826,False,False,False,False,False
1179,Argentina,1989,female,5-14 years,0.03493172435693871,False,False,False,False,False
1180,Argentina,1989,female,55-74 years,0.821749795584628,False,False,False,False,False
1181,Argentina,1989,female,75+ years,1.045016077170418,False,False,False,False,False
1182,Argentina,1989,male,15-24 years,0.7223300970873787,False,False,False,False,False
1183,Argentina,1989,male,25-34 years,0.9575863576738085,False,False,False,False,False
1184,Argentina,1989,male,35-54 years,1.2973883740522325,False,False,False,False,False
